"ID","VLINDER","lat","lon","water20","verhard20","groen20","water50","verhard50","groen50","water100","verhard100","groen100","water250","verhard250","groen250","water500","verhard500","groen500","stad","benaming","school","sponsor"
"gL8ySh0fD0yikpZGaWQG61oH","vlinder31","51.094983","4.721501","0.000000","0.016455","0.983545","0.000000","0.018012","0.981988","0.000000","0.025348","0.974652","0.008223","0.017713","0.974064","0.003513","0.022503","0.973984","Heist-op-den-Berg","De Averegten","GO! Atheneum","Gemeente Heist-op-den-Berg"
"36Ysu7TgQhOhkF2oJFiIoFLj","vlinder32","51.078689","4.728812","0.000000","0.045894","0.954106","0.000000","0.293224","0.706776","0.000000","0.543936","0.456064","0.000000","0.500201","0.499799","0.000000","0.465847","0.534153","Heist-op-den-Berg","centrum","Sint Lambertus","Gemeente Heist-op-den-Berg"
"ETJYb2VdWHhzRY0XIqW5Ldni","vlinder33","51.192830","4.813500","0.000000","0.082803","0.917197","0.000000","0.246021","0.753979","0.003916","0.179815","0.816269","0.014261","0.086822","0.898917","0.004043","0.064036","0.931922","Herentals","Hidrodoe","GO! SO De Vesten","Hidrodoe"
"2MDSH0xR5dG2plS7R9ZLNutq","vlinder34","50.835216","2.913731","0.000000","0.000000","1.000000","0.108132","0.000000","0.891868","0.286091","0.000000","0.713909","0.343025","0.004886","0.652088","0.198419","0.040535","0.761046","Ieper","Zillebekevijver","Consortium Ieper","Stad Ieper"
"jtvKBelmZOkuCZMw2NpcaYxI","vlinder35","51.003110","4.659717","0.000000","0.074841","0.925159","0.000000","0.270725","0.729275","0.000000","0.475557","0.524443","0.029056","0.382573","0.588370","0.075266","0.206933","0.717800","Keerbergen","Campus","GO! Atheneum","Gemeente Keerbergen"
"en06bHr9AwHDTwNnvhdtMFmy","vlinder36","50.865140","4.308056","0.000000","0.002577","0.997423","0.000000","0.262651","0.737349","0.000000","0.646836","0.353164","0.000000","0.770754","0.229246","0.000000","0.744798","0.255202","Koekelberg","UNESCO campus","Koninklijk Ath.",""
"XcdmHK6Yw2NeVdAFM4djB59J","vlinder37","51.134780","4.449670","0.000000","0.039044","0.960956","0.000000","0.241107","0.758893","0.000000","0.590653","0.409347","0.000000","0.597124","0.402876","0.000039","0.578802","0.421159","Kontich","Heemtuin","VTI","Cronos"
"wmOdkPszrgIG5CMd47zn3y08","vlinder38","51.128779","4.569839","0.159109","0.406523","0.434368","0.121787","0.539705","0.338509","0.070153","0.631760","0.298087","0.046080","0.632804","0.321116","0.051148","0.574680","0.374172","Lier","Zimmertoren","Atheneum","Stad Lier"
"eUPvvLdGP4DEbphRbM1wgjig","vlinder39","51.186371","5.342152","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.061610","0.025216","0.913174","Lommel","Bosland","WICO","Stad Lommel"
"7DR6TiwO0x9hamaMswCc6578","vlinder40","51.028222","4.255669","0.854183","0.000000","0.145817","0.617647","0.000000","0.382353","0.157600","0.000000","0.842400","0.028185","0.016608","0.955207","0.007171","0.032970","0.959859","Londerzeel","Groenhof","GTIL",""
"XeIIA97QzN5xxk6AvdzAPquY","vlinder41","51.101508","5.818359","0.000000","0.109350","0.890650","0.060822","0.350554","0.588625","0.233141","0.264774","0.502084","0.420749","0.117043","0.462208","0.610108","0.047121","0.342771","Maaseik","Herenlaak","Mosa-RT","Stad Maaseik"
"QNVdfKUcGfeaSoHnd1uLRn74","vlinder42","51.208350","3.445958","0.000000","0.914115","0.085885","0.000000","0.877855","0.122145","0.002610","0.833412","0.163978","0.004998","0.619412","0.375590","0.002264","0.551490","0.446246","Maldegem","Markt","Maricolen","Gemeente Maldegem"
"N0EAjpEOhFCM9Q6hQdXommu8","vlinder43","50.796269","3.115786","0.000000","0.984727","0.015273","0.000000","0.911261","0.088739","0.000000","0.734204","0.265796","0.016535","0.600757","0.382708","0.024596","0.628674","0.346730","Menen","Centrum","Sint Aloysius","Rotary Club Menen"
"V0sYUGN2UObPDcHRmrhUntEv","vlinder44","51.129539","2.752060","0.000000","0.834521","0.165479","0.000000","0.954713","0.045287","0.000000","0.892583","0.107417","0.000000","0.817664","0.182336","0.037592","0.689088","0.273320","Nieuwpoort","Centrum","Sint-Bernardus","Stad Nieuwpoort"
"V1qJJx8s5dfvPgqyPmQ0Uvhq","vlinder45","50.843253","3.586195","0.765266","0.000000","0.234734","0.882667","0.000000","0.117333","0.925737","0.000000","0.074263","0.826588","0.018832","0.154581","0.382659","0.129915","0.487426","Oudenaarde","De Donk","Bernardustechnicum","SOLVA"
"J8SNioTAfAz5UNh0uIt9VE72","vlinder46","50.820251","3.586094","0.000000","0.213546","0.786454","0.000000","0.168260","0.831740","0.000000","0.158919","0.841081","0.000902","0.038440","0.960658","0.000736","0.027020","0.972244","Oudenaarde","Scheldevallei","Bernardustechnicum","SOLVA"
